step,loss,samples_processed,tokens_seen
777,1.101923,3108,267359
778,0.5504,3112,267871
779,0.435127,3116,268224
780,0.647735,3120,268431
781,0.512711,3124,268844
782,0.50285,3128,269135
783,0.633586,3132,269393
784,0.357385,3136,269631
785,0.53185,3140,270046
786,0.38912,3144,270555
787,0.349861,3148,270816
788,0.982525,3152,271075
789,0.368307,3156,271359
790,0.557545,3160,271600
791,0.408375,3164,271923
792,0.913321,3168,272133
793,0.774505,3172,272481
794,0.724506,3176,272973
795,0.654174,3180,273361
796,0.415133,3184,273599
797,0.950046,3188,273851
798,0.362807,3192,274277
799,1.060994,3196,274482
800,0.759289,3200,274817
801,1.012681,3204,275132
802,0.348186,3208,275353
803,0.321519,3212,275718
804,0.543596,3216,276073
805,0.277381,3220,276399
806,0.516092,3224,276938
807,0.96331,3228,277339
808,0.845989,3232,277820
809,0.778505,3236,278152
810,0.74815,3240,278372
811,0.829113,3244,278710
812,0.427877,3248,279138
813,0.394168,3252,279371
814,0.446579,3256,279696
815,0.374274,3260,279946
816,0.782406,3264,280420
817,0.785964,3268,280809
818,0.774816,3272,281032
819,0.885857,3276,281245
820,0.523943,3280,281598
821,0.805157,3284,281872
822,0.451276,3288,282309
